 , C00, C01, C02, C03, C04, C05, C07, C10, C11, C12, C17, C21, C23, C40, C43
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
91.5, 4.097677, 91.71422, 6.581882, 19.39207, 42.60889, 5.153804, 700.1748, 14.9898, 92.97096, 1079.671, 0.5800909, 0.001110767, 97.70191, 908.3568, 2117.797
91.59999999999999, 3.878264, 87.08769, 6.118943, 18.30677, 38.92395, 4.721598, 659.2271, 14.23187, 89.21278, 1028.365, 0.5347149, 0.001060335, 90.82924, 864.0772, 1956.047
91.7, 3.670599, 88.55437, 5.688564, 17.2822, 35.55769, 4.325636, 620.674, 13.51227, 85.60651, 979.4969, 0.4928882, 0.001012193, 127.0373, 841.1221, 1914.279
91.8, 3.474054, 84.08724, 5.288457, 16.31498, 32.48256, 3.962881, 584.3756, 12.82906, 82.14602, 1086.482, 0.4543334, 0.000966236, 118.1011, 863.8803, 1768.073
91.90000000000001, 3.288033, 79.84546, 4.916491, 15.40189, 29.67337, 7.67079, 550.2, 12.18039, 78.82542, 1040.826, 0.4187943, 0.0009223659, 109.7934, 821.7689, 1686.798
92, 3.111973, 75.81765, 4.570688, 14.5399, 27.10712, 7.027504, 518.0231, 11.56451, 75.63904, 1107.364, 0.3860353, 0.0008804876, 102.0702, 781.7102, 1748.934
92.09999999999999, 2.94534, 83.45335, 4.249207, 13.72615, 24.76282, 6.438166, 593.5365, 10.97978, 72.58147, 1054.742, 0.3558387, 0.0008405106, 94.89026, 813.3254, 1751.238
92.2, 2.78763, 140.9934, 3.950337, 12.95795, 22.62126, 5.89825, 667.7469, 10.42462, 69.64749, 1143.958, 0.3280042, 0.0008023488, 88.21536, 773.6783, 1617.485
92.3, 2.638364, 133.881, 3.672488, 12.23274, 20.6649, 5.403613, 696.6237, 9.89752, 66.83212, 1089.597, 0.3023469, 0.0007659197, 82.01, 735.9639, 1539.613
92.40000000000001, 2.497091, 127.1273, 3.414183, 11.54812, 18.87774, 4.950457, 655.8836, 9.397076, 64.13055, 1037.819, 0.2786966, 0.0007311446, 76.24115, 700.088, 1422.022
92.5, 2.363382, 149.5531, 18.7395, 10.90181, 17.24514, 4.535303, 617.5261, 8.921935, 61.53819, 988.5022, 0.2568963, 0.0006979483, 70.8781, 665.9608, 1379.1
92.59999999999999, 2.236833, 142.0089, 17.42145, 12.48266, 15.75373, 4.154964, 581.4117, 8.470819, 59.05061, 941.5285, 0.2368013, 0.0006662593, 137.8656, 633.4973, 1377.038
92.7, 2.11706, 134.8453, 16.19611, 11.78405, 14.3913, 3.806522, 547.4095, 8.042512, 56.6636, 1005.82, 0.2182781, 0.0006360091, 128.1677, 676.157, 1373.64
92.8, 2.0037, 128.043, 15.05695, 11.12454, 13.14669, 3.487301, 592.5224, 7.635861, 54.37307, 958.0233, 0.2012039, 0.0006071323, 134.3772, 643.1964, 1268.726
92.90000000000001, 1.896411, 121.5839, 13.99791, 10.50194, 12.00973, 3.19485, 557.8704, 7.249772, 52.17514, 947.6494, 0.1854653, 0.0005795666, 124.9247, 676.7265, 1171.825
93, 1.794866, 115.4506, 13.01336, 20.7146, 10.97109, 2.926924, 549.0974, 6.883204, 50.06606, 902.6169, 0.1709577, 0.0005532525, 116.1371, 643.7382, 1082.325
93.09999999999999, 1.698758, 109.6267, 12.09806, 19.55528, 10.02228, 2.681467, 517.717, 6.535172, 48.04222, 859.7245, 0.157585, 0.0005281331, 107.9676, 648.3396, 999.6607
93.2, 1.607797, 104.0965, 11.24714, 18.46084, 9.155521, 2.456595, 570.2266, 6.204736, 46.1002, 965.561, 0.1452584, 0.0005041542, 100.3728, 616.735, 923.3101
93.3, 1.521706, 98.84539, 10.45607, 18.00567, 9.88702, 2.250581, 536.8785, 5.891008, 44.23669, 945.658, 0.1338959, 0.000481264, 93.31226, 628.062, 965.6497
