 , C00, C01, C02, C07, C08, C09, C13, C19, C22, C23, C30, C32, C34, C49
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
367.8, 273.0797, 388.278, 1569.466, 80.83494, 0.02781219, 858.752, 368.4559, 4.552428, 1123.225, 434.5778, 1735.608, 479.3851, 117.8116, 1056.47
367.9, 259.3271, 365.5954, 1670.673, 77.3044, 0.02661951, 811.5345, 472.0035, 4.256791, 1048.503, 413.2552, 1763.975, 448.7423, 110.4948, 992.4874
368, 246.2672, 344.2378, 1591.747, 73.92805, 0.02547798, 766.9133, 447.8213, 3.980352, 1023.557, 389.7105, 1894.632, 478.9185, 103.6323, 932.3794
368.1, 233.8649, 324.1279, 1562.19, 70.69918, 0.02438539, 724.7455, 424.8781, 3.721866, 1178.464, 367.5072, 1784.171, 448.3055, 97.19611, 956.0468
368.2, 222.0872, 349.1208, 1533.289, 67.61133, 0.02333967, 684.8962, 403.1102, 3.480166, 1100.067, 369.6461, 1760.512, 419.6493, 91.15961, 1419.399
368.3, 210.9027, 328.7256, 1487.25, 64.65834, 0.02233879, 647.238, 382.4576, 3.254162, 1136.128, 348.5859, 1732.329, 392.8249, 85.49801, 1361.556
368.4, 200.2814, 332.5482, 1463.264, 61.83433, 0.02138082, 611.6505, 362.8632, 3.042835, 1080.423, 426.7987, 1631.33, 481.4417, 80.18803, 1489.201
368.5, 190.195, 313.1212, 1429.809, 59.13366, 0.02046394, 721.5703, 344.2726, 2.845231, 1008.548, 402.4824, 1604.965, 517.9639, 75.20784, 1399.01
368.6, 180.6166, 294.829, 1455.182, 123.1393, 0.01958638, 681.8956, 326.6344, 2.66046, 953.7931, 379.5515, 1511.393, 484.8551, 70.53695, 1314.282
368.7, 171.5206, 368.5928, 1386.436, 117.7611, 0.01874645, 765.7782, 410.0258, 2.487689, 1072.997, 357.927, 1423.275, 453.8626, 66.15615, 1341.179
368.8, 162.8826, 347.0601, 1471.454, 112.6178, 0.01794254, 723.6728, 389.0189, 2.326137, 1056.11, 337.5345, 1608.148, 472.9043, 188.6474, 1323.146
368.9, 154.6797, 326.7853, 1541.987, 129.381, 0.0171731, 759.9025, 369.0883, 2.175076, 1017.555, 318.3039, 1514.39, 468.2148, 176.9312, 1277.294
369, 146.8898, 307.6949, 1469.14, 123.7301, 0.01643666, 787.7919, 527.7355, 2.033825, 949.8624, 415.7265, 1471.282, 438.286, 165.9426, 1334.355
369.1, 139.4923, 395.9418, 1399.734, 144.9233, 0.0157318, 1378.937, 500.6979, 1.901748, 886.673, 392.041, 1414.727, 410.2704, 978.7869, 1253.542
369.2, 132.4673, 372.8114, 1540.724, 138.5936, 0.01505717, 1585.503, 475.0456, 1.778247, 827.6873, 369.7049, 1332.245, 384.0454, 1009.753, 1328.054
369.3, 125.7962, 362.8216, 1500.102, 132.5404, 0.01441147, 1997.377, 450.7076, 1.662767, 772.6255, 348.6414, 1254.573, 359.4969, 1111.279, 1496.862
369.4, 119.4609, 341.626, 1446.154, 126.7516, 0.01379346, 1887.554, 427.6164, 1.554786, 721.2268, 328.778, 1181.428, 336.5175, 1253.667, 1446.066
369.5, 113.4447, 321.6687, 1426.086, 121.2156, 0.01320195, 2006.789, 405.7083, 1.453817, 673.2473, 310.0463, 1197.525, 728.3799, 1175.807, 1358.488
369.6, 107.7316, 358.3913, 1528.472, 115.9214, 0.0126358, 1896.448, 384.9226, 1.359405, 628.4597, 316.8709, 1127.707, 1853.525, 1102.781, 1285.321
