 , C000, C001, C002, C003, C004, C006, C009, C013, C017, C019, C020, C023, C030, C040, C047, C049, C069, C071, C112
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
182.3, 43.74549, 15.77931, 156.8122, 476.1991, 375.1368, 309.0325, 893.2311, 215.1411, 390.0095, 380.2951, 182.2385, 113.847, 706.186, 724.4395, 462.7691, 505.7023, 561.9232, 85.84256, 1080.523
182.4, 41.47789, 14.96382, 185.4337, 450.2932, 419.1216, 291.5034, 950.5457, 205.065, 371.4857, 357.0493, 171.8245, 106.6066, 673.211, 815.4851, 440.2234, 471.0449, 534.1204, 137.4827, 1295.65
182.5, 39.32785, 14.19047, 192.8775, 425.7967, 431.8014, 338.2416, 904.1046, 195.4609, 422.4883, 335.2243, 162.0056, 99.82666, 641.7758, 778.0727, 418.7761, 438.7627, 507.6933, 129.5185, 1317.098
182.6, 37.28925, 13.45709, 183.2816, 419.2933, 404.1865, 319.0558, 1015.04, 300.8028, 402.4219, 402.6677, 286.4968, 93.47792, 755.2065, 742.3766, 398.3736, 408.6929, 616.7122, 122.0156, 1283.287
182.7, 35.35632, 12.76161, 174.163, 470.7932, 392.9194, 300.9582, 1055.659, 286.7148, 383.3086, 378.0543, 270.125, 87.53294, 722.4753, 708.3182, 378.9652, 380.6839, 586.1985, 121.9874, 1281.02
182.8, 33.52359, 12.10207, 165.4981, 445.871, 464.4533, 283.8871, 1004.083, 273.2866, 365.1031, 354.9454, 254.6887, 81.96606, 688.7396, 675.8223, 360.5023, 354.5944, 557.1947, 114.9208, 1372.792
182.9, 74.66782, 11.47662, 157.2643, 421.6151, 434.7503, 267.7843, 983.2231, 260.4872, 413.2991, 333.2491, 240.1345, 76.75321, 707.1693, 644.8173, 418.7616, 373.0251, 607.6893, 108.2635, 1312.431
183, 70.79734, 10.88349, 149.4401, 398.6786, 406.9469, 252.595, 960.4159, 248.2874, 393.6692, 312.8789, 226.412, 71.87189, 692.7155, 615.2346, 474.2021, 347.4605, 577.6221, 101.992, 1307.237
183.1, 67.12749, 10.32102, 142.0052, 376.99, 382.2339, 238.2672, 913.4926, 236.6589, 374.9716, 293.7539, 213.4737, 67.301, 742.8527, 617.3599, 451.0994, 346.8719, 549.0426, 151.9387, 1326.317
183.2, 63.64787, 9.787613, 134.9403, 356.4813, 357.789, 244.4874, 923.5188, 225.575, 357.1621, 275.7979, 201.2748, 63.02082, 708.1656, 589.037, 429.1222, 342.4818, 521.8771, 143.1371, 1541.056
183.3, 60.34861, 9.281776, 128.2268, 337.0883, 334.9075, 272.4878, 970.6268, 215.0103, 340.1985, 258.9395, 189.773, 59.01285, 675.0981, 719.8257, 408.2158, 319.0104, 496.0558, 134.8453, 1473.296
183.4, 57.22038, 8.802082, 121.8473, 318.7502, 413.7643, 324.8346, 923.2046, 204.9403, 324.0406, 243.1116, 178.9284, 55.25977, 675.8013, 686.8019, 388.3278, 297.1476, 471.512, 127.0339, 1408.515
183.5, 97.98901, 8.347178, 115.7852, 301.4098, 493.4897, 306.4092, 976.2581, 195.342, 350.8113, 275.0284, 241.7067, 51.74538, 644.2451, 655.2931, 369.4088, 276.7831, 456.6301, 119.675, 1346.582
183.6, 92.90965, 7.915785, 110.0247, 285.0127, 493.0399, 289.0289, 928.5607, 186.1932, 451.0089, 268.6432, 227.8944, 48.4545, 614.1624, 625.2299, 351.4115, 349.2758, 434.037, 112.7423, 1385.454
183.7, 88.56798, 7.506687, 151.4061, 269.5077, 461.5087, 272.6345, 883.1938, 177.4729, 429.588, 380.1255, 214.8714, 45.37291, 616.7518, 596.5458, 418.0795, 325.3388, 522.5601, 106.2113, 1324.536
183.8, 83.97697, 7.118731, 154.4078, 291.6117, 503.865, 286.2544, 1030.036, 169.161, 409.1844, 356.89, 202.5926, 42.4873, 617.2953, 569.1778, 443.9785, 303.0423, 496.7049, 100.0586, 1401.663
