 , C001, C002, C003, C004, C006, C007, C008, C009, C010, C012, C014, C016, C019, C021, C022, C025, C036, C053, C054, C063, C064, C091
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
123.6, 296.3844, 117.8168, 628.3368, 204.4653, 280.3163, 95.66653, 8.872325, 517.9348, 598.0643, 169.6589, 1088.299, 3.196283, 59.38886, 775.187, 220.3523, 238.4822, 1172.579, 316.7521, 655.9337, 748.0212, 1267.115, 0.0308244
123.7, 275.4547, 109.1129, 597.5428, 196.2856, 267.4141, 89.74718, 8.205575, 545.8076, 563.9854, 158.4754, 1107.391, 3.000191, 54.846, 735.0025, 206.9745, 223.089, 1112.301, 302.7196, 807.9019, 709.9575, 1291.647, 0.02935703
123.8, 256.0029, 101.052, 633.2715, 185.0567, 255.1058, 84.19408, 55.34702, 514.5283, 540.6408, 226.3885, 1049.735, 2.816129, 50.65063, 768.0785, 194.4089, 208.6894, 1186.385, 289.3087, 811.4271, 703.3516, 1347.04, 0.02795952
123.9, 237.9247, 93.58666, 801.6736, 174.4702, 335.9735, 78.98459, 51.18772, 485.0416, 509.834, 211.4656, 1060.771, 2.643359, 57.21758, 728.2625, 182.6061, 195.2193, 1245.699, 276.492, 767.0796, 775.6763, 1483.126, 0.02662853
124, 221.1232, 86.67282, 762.3847, 164.4892, 320.5096, 74.09743, 47.341, 490.7348, 582.3409, 290.5776, 1154.51, 2.481189, 52.8408, 734.0314, 171.5199, 182.6186, 1181.662, 264.243, 725.1558, 736.2053, 1608.685, 0.0253609
124.1, 229.2559, 80.26974, 725.0212, 155.0793, 305.7574, 69.51266, 43.78335, 462.6116, 549.158, 271.4236, 1094.401, 2.328968, 48.79882, 695.9803, 161.1068, 170.8312, 1120.917, 252.5368, 685.5234, 698.7429, 1639.887, 0.02415362
124.2, 213.0665, 74.33971, 735.0936, 146.2077, 291.6842, 65.21157, 40.49306, 436.1001, 548.8199, 253.5322, 1201.288, 2.186085, 45.06603, 659.9019, 151.3258, 159.8047, 1238.303, 241.3491, 669.7791, 663.1867, 1611.322, 0.02300381
124.3, 198.0204, 68.84776, 844.0745, 137.8436, 278.2588, 61.17661, 37.45004, 411.1079, 517.5471, 244.2577, 1138.744, 2.051969, 41.61877, 745.0488, 142.1387, 149.4898, 1276.823, 230.657, 633.1732, 629.4399, 1551.743, 0.02190873
124.4, 211.8807, 63.76153, 802.7075, 129.958, 319.9626, 57.39132, 34.63569, 387.548, 488.0562, 233.2438, 1163.757, 1.92608, 38.43521, 706.4267, 133.5093, 220.0566, 1211.187, 220.4386, 707.2042, 597.4103, 1572.223, 0.02086579
124.5, 242.7293, 59.05106, 763.3679, 122.5235, 305.2356, 53.84024, 32.03284, 365.3383, 460.2458, 221.1576, 1103.167, 1.807915, 35.49516, 669.8066, 125.4038, 239.2126, 1148.924, 210.6729, 706.7917, 567.0106, 1726.685, 0.01987249
124.6, 225.5885, 54.68858, 781.4174, 115.5143, 291.1864, 50.50888, 29.62559, 436.3887, 434.02, 288.9202, 1186.944, 1.696999, 32.78001, 635.085, 117.7905, 286.3158, 1136.254, 201.3399, 697.3009, 538.1577, 1639.543, 0.01892648
124.7, 209.6581, 50.64838, 743.1212, 108.906, 288.249, 47.38366, 27.39925, 411.38, 409.2887, 269.8754, 1125.147, 1.592888, 30.27256, 754.9516, 110.6393, 401.6883, 1077.843, 192.4203, 805.8109, 510.7731, 1685.78, 0.0180255
