 , C002, C003, C004, C005, C006, C007, C008, C011, C014, C015, C019, C022, C023, C027, C029, C030, C032, C034, C036, C037, C057, C068, C092
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
55.4, 1102.973, 498.7207, 30.70127, 1022.568, 43.83423, 71.67081, 1042.16, 0.1759925, 40.97771, 172.4521, 19.14494, 33.47089, 87.81888, 0.200827, 2.21603, 99.23994, 189.4985, 6.065565, 500.6956, 114.8572, 127.2518, 4.955044, 1271.481
55.5, 1046.352, 472.5498, 29.23152, 966.2471, 41.49905, 68.38194, 1102.152, 0.1678007, 39.09564, 165.0837, 18.33865, 31.92589, 84.03426, 0.190954, 2.108071, 94.53935, 181.0238, 5.789188, 477.8827, 110.0786, 120.9866, 4.738743, 1425.226
55.6, 992.6372, 508.2374, 27.83212, 977.1658, 39.28827, 65.24397, 1056.116, 0.1599901, 37.30002, 158.0301, 17.56631, 30.45221, 80.41275, 0.1815664, 2.005371, 326.4529, 172.9281, 5.525404, 552.8502, 105.4988, 115.0299, 4.531884, 1365.362
55.7, 1012.178, 481.5672, 26.49972, 923.3455, 37.19526, 62.25001, 1044.103, 0.1525431, 35.58686, 151.2779, 16.8265, 29.04656, 76.94731, 0.1726403, 1.907674, 310.9902, 165.1944, 5.27364, 527.6609, 101.1095, 109.3665, 4.334055, 1308.013
55.8, 985.4373, 456.2964, 25.23111, 885.3378, 35.21376, 59.39344, 1031.794, 0.1454427, 33.9524, 144.8142, 16.11784, 27.70579, 73.63122, 0.164153, 1.814737, 296.2599, 208.8453, 5.033347, 521.6727, 96.90289, 103.9819, 4.144862, 1253.073
55.9, 1129.842, 469.6869, 24.02322, 871.4444, 33.33781, 56.66795, 988.696, 0.1386729, 32.393, 138.6266, 15.43904, 26.42691, 70.45803, 221.025, 1.726327, 282.2273, 199.5054, 4.804003, 497.904, 183.342, 98.86246, 3.963927, 1420.783
56, 1071.841, 445.0396, 22.87316, 988.1588, 31.56181, 54.06753, 1071.759, 0.1322181, 30.90522, 132.7035, 14.78882, 25.20706, 67.42159, 269.1045, 1.642225, 268.8594, 190.5832, 4.585109, 475.2182, 175.7141, 93.99504, 3.790891, 1389.685
56.1, 1048.409, 463.4554, 21.77816, 933.733, 29.88041, 51.58644, 1026.992, 0.1260638, 29.48577, 127.0334, 14.16598, 33.86272, 64.51601, 255.8749, 1.56222, 256.1246, 182.06, 4.376189, 453.566, 168.4035, 89.36726, 3.625408, 1331.314
56.2, 1094.545, 439.1351, 20.73558, 882.3049, 28.2886, 49.2192, 1007.766, 0.1201959, 28.13152, 121.6056, 96.75058, 32.29964, 61.73565, 243.2957, 1.486112, 243.9931, 173.9179, 4.176789, 432.9004, 161.3971, 84.96733, 3.467149, 1275.395
56.3, 1038.356, 416.0911, 19.74291, 833.7093, 26.78158, 46.96059, 965.6716, 0.1146012, 26.83947, 116.4097, 92.6759, 30.80871, 59.07512, 349.3809, 1.413713, 232.4361, 279.7417, 3.986474, 522.6183, 154.6822, 80.78403, 3.315799, 1296.204
56.4, 1035.447, 394.2563, 18.79776, 787.7903, 25.35484, 44.80563, 976.5457, 0.1092669, 25.60676, 111.4359, 88.77282, 29.3866, 60.50249, 332.2047, 1.34484, 221.4266, 267.2312, 3.804831, 498.8065, 148.2467, 167.447, 3.171055, 1241.759
56.5, 1197.735, 424.5136, 17.89786, 867.9207, 24.00411, 42.74956, 1023.202, 0.1041809, 24.43066, 106.6745, 85.03413, 45.54844, 57.89509, 315.873, 1.279323, 210.9386, 255.2801, 3.631464, 476.0796, 142.0789, 170.2598, 3.03263, 1307.726
