 , C05, C07, C09, C12, C23, C30, C33, C34, C35, C54, C58, C60
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
14.5, 4110.741, 991.5269, 2595.293, 347.5609, 47.16784, 3432.057, 1503.042, 2538.752, 2885.977, 89.48766, 1169.733, 92.39648
14.6, 4078.021, 977.7446, 2477.651, 374.6956, 44.24479, 3277.866, 1409.44, 2422.821, 2817.824, 84.17505, 1107.427, 87.44521
14.7, 4083.138, 1077.004, 2765.372, 350.4102, 41.5029, 3130.602, 1321.667, 2544.922, 2658.75, 79.17784, 1048.44, 82.75925
14.8, 3895.389, 1016.642, 2817.16, 327.6988, 38.93092, 2989.955, 1239.361, 2572.078, 2508.656, 74.47729, 992.5952, 78.32441
14.9, 3954.437, 959.6625, 2689.462, 306.4594, 36.51833, 2855.626, 1257.215, 2454.196, 2684.299, 70.05581, 939.7247, 74.12722
15, 3877.793, 1065.657, 2608.577, 286.5966, 34.25525, 2901.23, 1204.897, 2327.491, 2532.762, 65.89682, 1003.584, 70.15495
15.1, 3884.664, 1005.931, 2490.333, 277.7855, 32.13241, 3172.707, 1427.45, 2187.299, 2598.61, 61.98473, 950.1282, 66.39554
15.2, 3720.853, 949.5522, 2377.449, 259.7812, 30.14113, 3253.146, 1495.073, 2055.552, 2451.911, 58.30489, 899.5197, 62.83758
15.3, 3692.082, 896.3333, 2421.363, 242.9438, 28.27325, 3167.864, 1401.968, 2098.515, 2589.655, 54.84351, 1053.645, 59.47029
15.4, 3570.754, 846.097, 2311.605, 227.1977, 26.52113, 3263.32, 1459.811, 2161.592, 2589.538, 51.58762, 997.5229, 56.28344
15.5, 3673.09, 843.2756, 2206.823, 320.9164, 24.87759, 3200.26, 1421.405, 2040.084, 2527.803, 48.52502, 999.6279, 53.26736
15.6, 3607.735, 801.2915, 2285.137, 300.1166, 23.3359, 3205.837, 1433.068, 2011.867, 2437.177, 45.64425, 946.3828, 50.41291
15.7, 3512.118, 884.4391, 2181.555, 719.0905, 21.88975, 3278.122, 1343.824, 1890.687, 2538.196, 42.93449, 895.9737, 47.71142
15.8, 3500.434, 834.8694, 2182.175, 1484.526, 20.53322, 3256.603, 1391.515, 1873.024, 2394.907, 40.3856, 848.2497, 45.1547
15.9, 3417.169, 788.078, 2083.26, 1848.934, 19.26075, 3168.425, 1304.859, 1760.206, 2319.395, 37.98804, 911.4992, 42.73498
16, 3249.41, 743.9091, 1988.828, 1729.098, 18.06714, 3423.365, 1403.592, 1684.327, 2342.689, 35.73281, 862.9482, 40.44493
16.1, 3350.561, 702.2156, 1916.533, 1625.234, 146.9436, 3345.778, 1400.571, 1775.47, 2210.437, 33.61146, 816.9833, 38.2776
16.2, 3186.123, 662.8589, 1982.587, 1673.999, 296.4109, 3232.5, 1313.35, 1692.222, 2112.42, 31.61605, 863.7006, 36.22641
