 , C000, C001, C002, C004, C005, C006, C008, C011, C012, C015, C017, C020, C021, C024, C028, C030, C035, C036, C037, C039, C049, C051, C054, C065
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
192.2, 438.9668, 168.1311, 37.69695, 6.837991, 195.9082, 1.183509, 220.555, 48.43971, 188.2262, 275.9478, 21.42173, 214.0101, 391.2012, 191.8222, 404.6011, 91.24694, 755.0388, 327.6458, 175.0485, 191.4327, 55.04985, 2235.57, 716.6124, 491.7063
192.3, 519.3382, 158.9994, 36.01855, 6.281448, 233.4275, 1.099841, 207.8995, 45.9993, 319.7155, 255.5617, 19.91906, 201.0865, 439.9482, 181.8856, 443.0944, 86.58645, 718.3721, 340.7209, 166.2696, 181.1416, 52.34415, 2107.188, 734.2085, 491.6122
192.4, 493.6841, 229.6033, 34.41488, 5.770202, 219.5233, 1.022087, 195.9701, 43.68184, 347.4676, 236.6816, 18.5218, 188.9433, 434.9682, 172.4638, 418.5103, 82.16399, 683.486, 323.8371, 157.931, 171.4037, 49.77144, 1986.179, 697.498, 468.6246
192.5, 547.7123, 217.1328, 32.8826, 5.300566, 206.4473, 0.9498308, 184.7252, 41.48113, 325.8364, 219.1963, 17.22256, 196.2073, 497.9997, 163.53, 395.2903, 77.96741, 650.294, 307.79, 150.0106, 162.1893, 47.32518, 1872.118, 917.5079, 446.7119
192.6, 520.6565, 205.3397, 31.41855, 4.869154, 194.1502, 0.8826824, 174.1256, 39.3913, 305.5518, 203.0027, 63.86721, 184.3587, 471.1, 155.0589, 373.3585, 73.98518, 618.714, 292.5381, 229.8092, 153.4702, 44.99915, 1817.566, 1010.641, 451.5865
192.7, 544.8243, 194.1871, 30.01969, 4.472854, 182.5856, 0.820281, 164.1341, 37.40675, 286.53, 188.0055, 59.38713, 173.2257, 445.6533, 147.0267, 466.4206, 70.20634, 588.6675, 353.7221, 218.2841, 145.2199, 42.78744, 1713.189, 1018.483, 430.4706
192.8, 531.8763, 183.6402, 28.68311, 4.108809, 208.6268, 0.7622911, 154.716, 35.52219, 333.3908, 174.1162, 55.22131, 310.4449, 421.5811, 139.4106, 440.5423, 66.62051, 560.0803, 348.7347, 207.3369, 137.4131, 40.68444, 1819.554, 967.5586, 410.342
192.9, 520.4644, 173.6661, 27.40603, 3.774394, 210.6245, 0.7084008, 145.8383, 33.73257, 312.636, 277.5085, 51.34771, 291.6978, 398.8092, 132.189, 416.0999, 63.21782, 532.8812, 331.4538, 196.9387, 130.026, 38.6848, 1782.578, 919.1805, 467.9989
193, 494.7546, 164.2338, 26.18582, 3.467197, 198.0786, 0.6583203, 137.4701, 32.03311, 293.1732, 308.2303, 47.74583, 274.0828, 377.2673, 125.3415, 393.0136, 59.98893, 507.0031, 315.0293, 187.062, 123.036, 36.78345, 1861.817, 873.2214, 446.1155
193.1, 489.5936, 155.3138, 53.1543, 3.185002, 186.2799, 0.6117802, 129.582, 30.41927, 274.922, 285.4592, 44.39661, 257.5316, 356.8891, 118.8486, 371.2082, 341.5008, 584.1442, 299.4186, 177.6807, 116.4217, 34.97554, 1754.899, 829.5602, 441.2025
193.2, 507.05, 146.8782, 50.78768, 2.925775, 175.1841, 0.5685303, 122.1465, 28.88674, 257.807, 300.409, 105.3157, 241.9798, 337.6115, 112.6922, 350.6125, 426.4517, 555.7766, 284.5815, 168.7698, 110.1631, 33.2565, 1824.701, 788.0821, 477.8879
193.3, 547.0788, 138.9008, 48.52644, 2.687647, 164.7492, 0.528338, 115.1376, 27.43141, 241.7576, 278.2157, 97.92815, 236.259, 319.3753, 106.8546, 331.1596, 404.6704, 584.2203, 270.4797, 160.3058, 104.2409, 31.62195, 1797.593, 852.381, 455.5421
193.4, 546.3871, 131.3567, 46.36587, 2.4689, 154.9359, 0.490987, 108.531, 26.04941, 226.7072, 257.662, 91.05879, 226.7794, 302.1241, 101.3194, 312.786, 450.509, 555.8489, 344.4814, 152.2663, 98.63705, 30.06773, 1694.363, 809.7619, 484.5008
193.5, 555.1711, 124.2223, 44.30149, 2.267956, 145.7071, 0.4562766, 102.3034, 24.73703, 212.5938, 238.6267, 91.68686, 213.0846, 398.2837, 96.07096, 295.4319, 427.4989, 633.5027, 327.4113, 144.63, 93.33447, 28.5899, 1597.061, 788.4698, 482.6137
193.6, 541.4103, 117.4754, 42.32904, 2.083368, 199.238, 0.4240201, 96.43318, 23.49077, 199.3591, 230.7365, 85.25532, 200.2169, 445.8494, 91.09438, 279.0405, 405.6642, 602.7382, 311.1871, 285.3038, 88.31694, 27.18471, 1505.347, 749.0462, 460.0469
193.7, 629.49, 111.095, 40.4444, 1.913803, 187.3703, 0.3940439, 90.8998, 22.3073, 186.9482, 213.6904, 125.3188, 188.1263, 421.7666, 86.3756, 263.5586, 554.5106, 573.4676, 295.7669, 279.4815, 217.56, 25.84859, 1418.899, 711.5938, 539.8
193.8, 598.3946, 105.0611, 38.64367, 1.758039, 176.2095, 0.3661869, 85.68391, 21.18345, 175.31, 197.9036, 116.528, 207.878, 398.9847, 81.90126, 248.9357, 526.1887, 545.6185, 281.1107, 265.4652, 205.8643, 24.57813, 1473.215, 676.014, 514.5592
193.9, 568.8353, 99.3549, 36.92311, 1.614952, 165.7135, 0.3402993, 80.76733, 20.11622, 164.3962, 183.2831, 108.354, 195.3247, 397.9592, 77.65869, 235.1241, 499.3132, 519.1218, 267.1808, 252.1519, 194.7973, 23.37012, 1775.957, 692.6749, 490.4987
194, 540.7361, 93.95864, 35.27917, 1.483511, 155.8427, 0.3162418, 76.13285, 19.10276, 154.1619, 169.7427, 100.7533, 183.5294, 376.4633, 73.63589, 222.0788, 473.8105, 493.9118, 253.9412, 239.5062, 256.4479, 22.22148, 1981.969, 658.041, 467.5632
