 , C000, C001, C003, C004, C060, C083
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
25.08067082068705, 21.53806, 0.0001307905, 17.9549, 94.64525, 45.01286, 65.03613
25.18059381200453, 20.38898, 0.0001253534, 18.55847, 90.47642, 61.18967, 62.2863
25.28051680332201, 19.3012, 0.0001201423, 17.79081, 88.21805, 58.58414, 66.57834
25.38043979463949, 18.27146, 0.0001151478, 17.05491, 84.33232, 56.08955, 81.24926
25.48036278595697, 17.29666, 0.0001103609, 16.34944, 87.57596, 53.70118, 77.81391
25.58028577727444, 16.37386, 0.0001057731, 15.67316, 83.71851, 68.43887, 78.25229
25.68020876859192, 15.5003, 0.000101376, 15.02485, 80.03098, 65.52465, 92.95211
25.7801317599094, 14.67334, 9.716165e-05, 14.40336, 76.50586, 62.73452, 89.02195
25.88005475122688, 19.75828, 9.312254e-05, 13.80757, 73.13602, 60.06321, 85.25797
25.97997774254436, 18.70415, 8.925132e-05, 13.23643, 69.9146, 57.50564, 81.65312
26.07990073386183, 20.53322, 8.554102e-05, 12.68892, 66.83508, 55.05698, 112.7976
26.17982372517931, 24.31634, 8.198498e-05, 18.41386, 63.8912, 52.71258, 108.0284
26.27974671649679, 23.01904, 7.857675e-05, 17.65219, 61.077, 50.46801, 103.4608
26.37966970781427, 23.7004, 7.531022e-05, 16.92202, 62.13122, 61.48941, 99.08627
26.47959269913175, 22.43595, 7.217948e-05, 16.22205, 59.39453, 58.87111, 94.89675
26.57951569044923, 21.23897, 6.917889e-05, 15.55104, 56.77839, 56.36431, 90.88437
26.6794386817667, 20.10584, 6.630302e-05, 16.12471, 56.84863, 53.96424, 87.04163
26.77936167308418, 19.03318, 6.354671e-05, 15.45773, 54.34463, 51.66638, 83.36137
26.87928466440166, 18.01773, 6.0905e-05, 14.81833, 51.95092, 49.46636, 79.83672
26.97920765571914, 20.81572, 5.83731e-05, 14.20538, 49.66264, 95.02548, 76.4611
27.07913064703662, 31.32778, 5.594647e-05, 13.61778, 47.47515, 90.97917, 73.2282
27.17905363835409, 29.6564, 5.36207e-05, 13.05449, 45.38402, 87.10517, 70.132
27.27897662967158, 28.0742, 5.139161e-05, 12.5145, 43.385, 83.39613, 67.1667
27.37889962098905, 26.57641, 4.925521e-05, 11.99685, 41.47403, 79.84502, 64.32679
27.47882261230653, 25.15853, 4.72076e-05, 11.50061, 39.64722, 76.44511, 61.60695
27.57874560362401, 23.81629, 4.524511e-05, 11.02489, 37.90089, 73.18998, 59.00211
27.67866859494149, 22.54566, 4.336421e-05, 10.56886, 36.23147, 70.07346, 56.50741
27.77859158625897, 21.34283, 4.156151e-05, 10.13168, 34.63559, 67.08965, 54.11819
27.87851457757644, 25.59522, 3.983374e-05, 9.712591, 33.11, 64.23289, 51.82999
27.97843756889392, 24.22969, 3.817781e-05, 9.310837, 44.88014, 61.49777, 49.63854
28.0783605602114, 22.937, 3.65907e-05, 8.9257, 42.90331, 58.87912, 47.53974
28.17828355152888, 21.71329, 3.506958e-05, 8.923675, 41.01355, 56.37197, 45.52969
28.27820654284636, 20.55486, 3.361169e-05, 8.554552, 39.20704, 53.97158, 43.60462
28.37812953416384, 19.45823, 3.221442e-05, 8.2007, 37.48009, 51.6734, 41.76095
28.47805252548131, 18.42011, 3.087522e-05, 7.861483, 35.8292, 49.47308, 39.99523
28.57797551679879, 29.66033, 2.95917e-05, 7.536298, 34.25104, 47.36646, 38.30417
28.67789850811627, 28.07791, 2.836153e-05, 7.224564, 32.74239, 45.34953, 36.68461
28.77782149943375, 34.40998, 2.718252e-05, 6.925725, 31.30019, 43.41849, 35.13353
28.87774449075123, 32.57417, 2.60525e-05, 6.639247, 29.92151, 41.56968, 33.64803
28.9776674820687, 55.94061, 2.496947e-05, 6.36462, 34.29247, 39.79959, 32.22533
29.07759047338618, 52.95612, 2.393146e-05, 6.101351, 32.78199, 38.10487, 30.8628
29.17751346470366, 50.13084, 2.293659e-05, 5.848973, 31.33805, 36.48232, 29.55787
29.27743645602114, 69.68594, 2.198309e-05, 5.607034, 29.95771, 34.92885, 28.30812
29.37735944733862, 88.38219, 2.106923e-05, 5.375103, 28.63816, 33.44154, 27.1112
29.4772824386561, 89.67997, 2.019336e-05, 5.152766, 27.37674, 32.01756, 25.9649
