 , C01, C02, C05, C13, C15, C18, C21, C22, C23, C33, C42, C45, C46, C53, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
231.9, 76.05643, 0.6221796, 913.5004, 185.0132, 12.0572, 2.297996, 763.4833, 145.1634, 12.21345, 264.9561, 31.80329, 1179.761, 458.5031, 7.200811, 1324.32
232, 71.74039, 0.5913798, 862.5424, 230.7781, 11.33448, 2.194191, 788.1602, 135.952, 11.43852, 250.2444, 29.65131, 1113.432, 434.4471, 6.889539, 1387.845
232.1, 67.66929, 0.5621046, 814.4271, 219.3973, 10.65508, 2.095075, 774.4901, 127.3251, 10.71276, 236.3496, 27.64494, 1206.06, 411.6532, 6.591723, 1325.992
232.2, 63.82921, 0.5342786, 768.9957, 208.5778, 10.0164, 2.000437, 734.2952, 119.2457, 10.03304, 223.2262, 25.77434, 1119.584, 390.0553, 6.30678, 1365.257
232.3, 60.20705, 0.5078301, 770.7808, 198.2918, 9.416004, 1.910073, 696.1864, 111.6789, 9.396456, 210.8316, 24.03031, 1121.45, 369.5905, 6.034155, 1304.411
232.4, 184.5723, 0.482691, 727.7842, 277.0571, 8.851597, 1.823791, 683.9614, 104.5922, 8.80026, 199.1251, 135.4444, 1041.04, 350.1994, 5.773315, 1377.282
232.5, 174.0982, 0.4587962, 717.4396, 519.7896, 8.321021, 1.741407, 648.4648, 97.95531, 8.241891, 188.0687, 341.5006, 1087.357, 331.8257, 5.52375, 1476.759
232.6, 164.2185, 0.4360844, 681.0543, 528.8881, 7.822249, 1.662745, 643.9468, 91.73952, 7.71895, 177.6261, 318.3928, 1056.445, 314.416, 5.284973, 1410.944
232.7, 154.8995, 0.4144968, 701.0248, 502.8062, 7.353374, 1.587635, 713.2881, 85.91815, 7.22919, 167.7634, 296.8486, 980.6963, 297.9197, 5.056518, 1348.061
232.8, 146.1093, 0.3939779, 661.9194, 500.8543, 6.912603, 1.515919, 676.2695, 80.46618, 6.770504, 158.4483, 276.7622, 1011.574, 282.289, 4.837938, 1312.017
232.9, 137.8179, 0.3744748, 690.7285, 476.1548, 6.498253, 1.447442, 649.7523, 75.36017, 6.340922, 149.6505, 258.035, 948.1257, 267.4783, 4.628807, 1253.544
233, 133.1555, 0.3559371, 652.1974, 452.6734, 6.10874, 1.382058, 647.3787, 70.57816, 5.938597, 141.3411, 240.575, 963.6612, 253.4447, 4.428716, 1300.516
233.1, 125.5992, 0.3383171, 615.8158, 459.2267, 5.742575, 1.319628, 613.7807, 66.09959, 5.561798, 133.4931, 224.2964, 911.7358, 240.1474, 4.237275, 1444.255
233.2, 134.0398, 0.3215694, 666.2039, 436.5801, 5.398358, 1.260018, 581.9264, 61.90521, 5.208907, 126.0809, 209.1193, 846.3629, 227.5477, 4.054109, 1379.888
233.3, 126.4334, 0.3056507, 629.0409, 415.0503, 5.074774, 1.2031, 551.7253, 57.97699, 4.878407, 119.0803, 194.9691, 811.8188, 215.6091, 3.87886, 1483.196
233.4, 119.2586, 0.29052, 680.0152, 394.5822, 44.65604, 1.148754, 553.1584, 54.29804, 4.568876, 112.4683, 181.7765, 841.7468, 204.2969, 3.711188, 1421.193
233.5, 112.4909, 0.2761383, 642.0818, 375.1234, 41.9793, 1.096862, 565.1439, 50.85254, 4.278985, 106.2235, 169.4765, 781.3922, 193.5781, 3.550763, 1413.347
233.6, 106.1073, 0.2624686, 733.2554, 356.6243, 39.46301, 1.047315, 563.5457, 47.62567, 4.007487, 345.8026, 158.0088, 746.9289, 183.4218, 3.397273, 1460.852
233.7, 100.0859, 0.2494756, 814.489, 339.0375, 37.09755, 1.000006, 534.2985, 44.60356, 3.753216, 363.3756, 147.3171, 700.611, 173.7983, 3.250418, 1395.746
233.8, 94.4063, 0.2371258, 776.992, 322.318, 34.87387, 0.9548336, 510.9417, 41.77322, 3.515078, 856.103, 137.3488, 746.7187, 164.6797, 3.109911, 1350.276
233.9, 89.04895, 0.2253873, 733.6489, 306.4229, 90.70124, 0.9117019, 484.4246, 39.12249, 3.292049, 914.2366, 128.0551, 693.1778, 156.0396, 2.975478, 1344.424
234, 83.99562, 0.2142299, 692.7236, 291.3118, 85.2645, 0.8705186, 459.2837, 36.63995, 3.083172, 863.4735, 119.3902, 643.4758, 147.8528, 2.846856, 1344.209
234.1, 79.22906, 0.2036249, 654.0812, 276.9458, 80.15363, 0.8311956, 435.4476, 34.31495, 2.887547, 1168.031, 111.3116, 597.3376, 140.0955, 2.723794, 1321.691
