 , C000, C002, C003, C005, C006, C009, C010, C011, C012, C014, C015, C020, C022, C023, C026, C027, C028, C030, C031, C032, C040, C043, C044, C045, C058, C061, C083, C095, C099, C107
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
380.7, 0.274468, 125.0715, 238.3513, 112.6308, 336.3094, 584.4406, 147.6537, 72.86911, 57.64495, 980.52, 77.31144, 1161.687, 1061.201, 752.1751, 744.3671, 878.7134, 839.4843, 220.6138, 1128.188, 870.9722, 778.9, 1527.12, 867.3652, 759.9919, 1165.69, 1310.503, 277.44, 1271.701, 1203.366, 723.7627
380.8, 0.2564573, 117.4995, 222.9759, 106.1488, 468.409, 554.3084, 138.8796, 116.087, 54.56777, 963.547, 73.5174, 1262.33, 1016.055, 710.3083, 708.7609, 834.3405, 809.2865, 206.342, 1155.814, 953.6929, 740.1618, 1454.757, 812.9172, 708.5468, 1082.218, 1248.1, 264.2061, 1253.948, 1545.844, 680.9185
380.9, 0.2396285, 110.3858, 208.5923, 100.0398, 445.6722, 525.7297, 130.6269, 110.1375, 51.65485, 908.9478, 161.6963, 1186.498, 972.8306, 760.6666, 703.1111, 792.2083, 775.0074, 192.9935, 1125.699, 894.082, 703.3502, 1509.633, 761.8872, 784.0009, 1004.724, 1188.669, 251.6035, 1199.449, 1594.139, 734.6752
381, 0.223904, 103.7029, 216.4649, 94.28245, 424.0392, 498.6245, 122.8646, 104.4929, 48.89742, 857.4424, 153.7611, 1115.222, 931.4446, 749.6421, 669.4783, 848.0454, 722.8622, 180.5085, 1085.207, 838.1971, 668.3694, 1438.099, 714.0605, 795.834, 932.7783, 1132.068, 357.5077, 1252.674, 1514.321, 747.842
381.1, 0.2092113, 97.42454, 202.5014, 88.8564, 403.4561, 472.9168, 115.5635, 99.13755, 46.28719, 886.8774, 146.2153, 1048.227, 921.2576, 707.9163, 637.4543, 805.2211, 746.197, 168.8312, 1122.753, 785.8053, 671.7156, 1369.954, 669.2361, 741.9628, 999.8719, 1078.162, 357.5513, 1318.544, 1438.499, 703.5724
381.2, 0.1954828, 91.52628, 189.4386, 210.4752, 383.8723, 448.5345, 108.6963, 147.5543, 43.8163, 851.1997, 139.0398, 1207.335, 882.0657, 682.2257, 756.3755, 764.5594, 695.9903, 157.9093, 1070.512, 736.6882, 753.0698, 1425.898, 627.2255, 691.7382, 981.98, 1026.823, 454.8652, 1325.568, 1366.473, 741.105
381.3, 0.1826552, 85.98512, 204.5003, 198.3621, 365.239, 425.4093, 102.2372, 139.992, 41.47731, 825.1238, 239.3154, 1134.806, 844.5411, 644.2524, 720.1949, 725.951, 649.1616, 147.6939, 1020.701, 690.6413, 715.6163, 1378.698, 587.8521, 644.9133, 1051.617, 977.9289, 433.1682, 1279.858, 1298.054, 907.1163
381.4, 0.1706693, 80.77943, 200.691, 186.9462, 347.5101, 499.7696, 96.16191, 132.8174, 39.26318, 778.3683, 227.571, 1162.886, 808.6129, 608.3927, 750.673, 689.2922, 605.4838, 138.1394, 973.2083, 647.4725, 680.0255, 1347.425, 550.9503, 601.2581, 976.3135, 931.3627, 412.5061, 1254.128, 1388.014, 1032.603
381.5, 0.1594699, 75.88891, 187.745, 200.9758, 330.6419, 474.0028, 90.44762, 126.0104, 37.16724, 734.2623, 216.403, 1093.028, 774.2131, 614.3425, 714.7651, 654.4846, 564.7447, 129.203, 927.9252, 607.002, 646.2048, 1330.667, 516.365, 560.558, 906.4025, 887.0138, 392.8296, 1320.803, 1370.442, 971.4762
381.6, 0.1490054, 71.29446, 175.6341, 189.4094, 314.5924, 550.8719, 283.518, 160.0755, 35.18319, 777.5547, 205.7831, 1027.366, 741.2767, 590.0472, 680.5749, 621.4347, 526.7467, 120.8447, 884.7491, 569.0612, 614.0661, 1267.613, 483.9507, 522.613, 841.4976, 844.7767, 374.0916, 1399.944, 1301.824, 960.29
