 , C00, C01, C03, C05, C07, C08, C09, C11, C12, C13, C18, C19, C21, C24, C25, C26, C33, C35, C36, C38, C54, C58, C63
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
302.6, 384.5099, 43.60186, 265.6079, 92.3574, 101.237, 23.87867, 2.315251, 0.6047097, 878.3145, 3461.798, 0.005488348, 252.5761, 1164.794, 503.8322, 478.3571, 126.8798, 256.9425, 0.1598613, 569.7485, 1452.561, 969.8972, 513.2047, 1643.938
302.7, 396.5212, 41.6792, 247.198, 85.60474, 109.3454, 22.20336, 2.159932, 0.5656371, 833.7632, 3451.752, 0.005205592, 234.4448, 1185.973, 476.0598, 455.4443, 118.996, 235.8346, 0.1523685, 630.0629, 1532.379, 921.5365, 488.7315, 1569.506
302.8, 378.464, 39.84132, 230.0641, 79.34579, 103.8864, 20.64559, 2.015032, 0.529089, 791.4717, 3296.432, 3.411304, 217.615, 1144.599, 449.8182, 433.629, 111.6021, 216.4607, 0.145227, 658.3651, 1496.527, 1044.316, 516.1007, 1491.584
302.9, 361.2291, 38.08449, 228.0201, 73.54446, 119.7992, 19.19711, 1.879852, 0.4949026, 751.3253, 3450.255, 3.235556, 203.472, 1094.306, 425.0231, 412.8586, 104.6675, 198.6784, 0.1384201, 620.404, 1554.883, 1046.942, 491.4894, 1471.84
303, 344.7791, 36.40512, 212.2155, 185.1052, 113.8183, 17.85025, 1.753742, 0.462925, 713.2153, 3406.156, 3.068862, 188.8656, 1158.509, 401.5948, 393.0831, 98.1639, 198.1605, 0.1319323, 584.6318, 1478.261, 1226.856, 468.0518, 1598.214
303.1, 329.0782, 34.79981, 197.5063, 195.3039, 118.1306, 16.59789, 1.636091, 0.4330136, 852.7806, 3317.217, 2.910756, 386.695, 1214.234, 598.1603, 457.2245, 150.5907, 349.9631, 0.1257486, 550.9222, 1405.415, 1163.902, 445.7319, 1518.866
303.2, 314.0923, 33.26528, 183.8167, 181.0244, 218.1985, 15.43339, 1.526333, 0.4050349, 809.5244, 3167.951, 16.48504, 358.9359, 1160.881, 565.1883, 462.0591, 141.2335, 321.2135, 0.1198547, 576.4638, 1336.159, 1104.178, 424.4763, 1443.458
303.3, 384.8918, 35.24868, 171.0759, 167.7889, 207.3051, 14.3506, 1.423939, 0.378864, 783.5157, 3162.912, 15.63574, 333.1694, 1207.203, 534.0338, 439.9269, 132.4578, 294.8257, 0.1142371, 543.2252, 1524.485, 1112.285, 404.2343, 1427.813
303.4, 367.3642, 33.69436, 159.2182, 155.5211, 281.8574, 13.34377, 1.328413, 0.3543842, 947.2271, 3147.46, 14.8302, 309.2527, 1333.196, 517.2653, 427.1711, 155.2586, 270.6057, 0.1088828, 511.903, 1559.591, 1356.616, 384.9576, 1356.925
303.5, 350.6348, 32.20858, 148.1824, 144.1502, 267.7859, 12.40758, 1.239296, 0.331486, 899.1802, 3444.3, 14.06615, 287.0528, 1463.725, 488.7524, 473.2008, 145.6115, 278.1772, 0.1037794, 482.3869, 1482.737, 1514.373, 366.6002, 1363.854
