 , C000, C002, C003, C004, C005, C006, C008, C009, C010, C011, C012, C014, C015, C016, C019, C022, C026, C029, C044, C045, C052, C055, C082, C090, C113, C116
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
96.3, 1.200907, 262.2643, 416.8418, 485.7903, 83.40207, 392.4496, 368.5917, 19.22444, 63.89054, 467.8751, 10.72976, 1.885513, 605.6465, 48.58171, 198.0945, 0.8854305, 623.3798, 556.1528, 1619.73, 1.490797, 1367.412, 508.1174, 2325.603, 64.77195, 2847.483, 1177.67
96.40000000000001, 1.148576, 249.3336, 413.6474, 470.6857, 79.54968, 372.2989, 351.7539, 18.21587, 60.32996, 477.5579, 10.21319, 1.801332, 575.1361, 46.09425, 188.3975, 0.8372927, 592.9459, 681.7869, 1542.912, 1.420997, 1274.649, 480.0523, 2484.251, 61.54543, 2726.823, 1125.724
96.5, 1.098526, 237.0404, 391.532, 515.9116, 75.87524, 353.1827, 421.5931, 138.1032, 56.96781, 533.3072, 9.721498, 1.72091, 693.0833, 43.73415, 210.3624, 0.7917719, 563.9979, 641.0765, 1723.232, 1.354465, 1188.179, 453.5373, 2407.669, 58.47963, 2778.168, 1235.769
96.59999999999999, 1.050656, 382.1748, 370.5988, 514.7241, 72.37051, 335.0482, 399.1437, 130.8579, 88.26976, 507.1146, 9.253476, 1.644079, 1034.582, 41.49488, 200.0649, 0.7487261, 573.7623, 602.797, 1720.099, 1.291048, 1167.707, 428.4868, 2396.389, 55.56656, 2719.003, 1181.261
96.7, 1.004873, 493.5366, 350.7849, 491.5386, 69.02768, 317.8447, 508.8492, 123.9928, 83.35054, 615.8818, 8.807985, 1.570677, 1290.599, 39.37028, 330.6296, 0.7080204, 545.7508, 592.8157, 1766.242, 1.2306, 1088.492, 404.82, 2358.477, 52.79859, 2857.164, 1129.157
96.8, 0.9610844, 469.2032, 368.9145, 469.3975, 65.83925, 327.6043, 481.7535, 117.4877, 78.70547, 585.6337, 8.383943, 1.500553, 1314.271, 37.35445, 314.4449, 0.6695278, 641.7128, 557.4179, 1682.476, 1.172983, 1181.359, 382.4604, 2255.887, 50.1685, 2813.321, 1227.719
96.90000000000001, 0.9192041, 446.0695, 349.1906, 503.8084, 62.7981, 310.7831, 456.1006, 111.324, 74.31926, 556.8712, 7.980314, 1.433559, 1248.063, 35.44184, 299.0524, 0.6331279, 610.3839, 524.1337, 1602.683, 1.118063, 1271.063, 361.3357, 2157.76, 47.66943, 2862.923, 1173.566
97, 0.8791487, 424.0765, 330.5213, 481.1146, 59.89742, 294.8256, 482.3392, 105.4836, 70.17749, 529.5212, 7.596118, 1.369557, 1185.19, 33.62716, 284.4134, 0.598707, 580.5845, 492.837, 1544.506, 1.065714, 1226.045, 341.3779, 2063.901, 45.29485, 2982.224, 1121.801
97.09999999999999, 0.8408388, 403.1678, 312.8501, 459.443, 57.13072, 279.6874, 456.6552, 99.94962, 66.26654, 503.5146, 7.230418, 1.308412, 1243.843, 31.9054, 270.491, 0.5661573, 552.24, 645.0052, 1552.934, 1.015817, 1366.707, 450.7455, 2003.77, 43.03855, 2855.854, 1072.32
97.2, 0.8041983, 383.2899, 296.1237, 438.7476, 54.49182, 265.3265, 432.3388, 94.70596, 62.57355, 478.7852, 6.882324, 1.249997, 1181.183, 30.27179, 257.2501, 0.5353773, 525.2792, 657.2651, 1591.073, 0.9682557, 1273.992, 425.8492, 1916.609, 40.89465, 2871.72, 1025.022
