 , C09, C12, C15, C19, C21, C24, C25, C29, C34, C37, C39, C45, C57, C63, C72, C92
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
12.1, 0, 402.1575, 1753.208, 131.2174, 314.7224, 769.2319, 472.4526, 0, 69.47679, 782.9922, 1376.195, 804.6074, 657.4843, 449.8249, 1780.279, 525.7655
12.2, 0, 380.3059, 1671.625, 123.0494, 294.679, 732.3028, 535.9252, 0, 64.93649, 910.5427, 1342.663, 784.1211, 621.907, 426.951, 1782.089, 499.1075
12.3, 0, 359.6417, 1591.534, 154.384, 275.9122, 809.8044, 504.5414, 0, 60.69291, 875.0485, 1280.885, 734.8993, 780.4655, 405.2403, 1681.694, 473.8011
12.4, 0, 340.1002, 1515.28, 144.774, 258.3405, 773.5367, 490.5411, 0, 56.72663, 907.483, 1221.95, 820.4675, 738.2334, 512.1595, 1586.955, 569.4798
12.5, 0, 335.2116, 1442.68, 135.7622, 241.8878, 764.3036, 460.817, 0, 53.01956, 853.126, 1175.656, 768.9641, 698.2867, 486.1159, 1560.226, 540.6053
12.6, 0, 316.9976, 1488.287, 127.3114, 226.483, 727.6111, 432.894, 0, 49.55474, 802.0249, 1121.562, 720.6938, 774.0195, 461.3966, 1565.241, 618.0134
12.7, 0, 299.7733, 1416.98, 119.3866, 212.0593, 744.7888, 452.1218, 0, 46.31635, 753.9847, 1195.283, 675.4535, 732.1362, 437.9343, 1477.062, 586.678
12.8, 0, 283.4848, 1349.09, 122.4006, 239.7743, 709.0331, 424.7257, 0, 43.28959, 828.5359, 1140.286, 680.1598, 692.5194, 415.6651, 1501.465, 556.9316
12.9, 0, 268.0814, 1297.292, 114.7815, 383.0719, 684.8099, 398.9897, 0, 40.46062, 778.9078, 1087.82, 637.464, 655.0463, 394.5283, 1529.54, 528.6933
13, 0, 253.515, 1280.094, 107.6366, 358.6756, 651.9337, 374.813, 0, 37.81652, 776.3716, 1037.768, 655.9287, 619.6009, 374.4662, 1625.02, 501.8868
13.1, 0, 297.8442, 1431.584, 100.9365, 335.8331, 663.01, 352.1014, 0, 35.34522, 729.868, 990.0187, 657.632, 745.6775, 384.292, 1533.474, 476.4395
13.2, 0, 281.6606, 1559.467, 234.5035, 314.4453, 631.1804, 330.766, 0, 33.03542, 729.1041, 944.4666, 616.3503, 705.3279, 364.7505, 1559.514, 621.5513
13.3, 0, 266.3563, 1484.75, 281.3939, 294.4196, 600.8788, 310.7234, 0, 30.87656, 685.4318, 901.0103, 577.66, 667.1617, 346.2027, 1471.658, 590.0367
13.4, 0, 251.8836, 1413.612, 263.8779, 337.0089, 582.7042, 291.8952, 0, 28.85878, 778.5411, 859.5535, 541.3984, 631.0607, 328.5981, 1388.751, 560.1199
13.5, 0, 238.1973, 1345.883, 247.4522, 315.5462, 554.7298, 277.6149, 0, 26.97287, 731.9076, 820.0042, 643.4957, 726.7532, 403.2401, 1468.313, 531.72
13.6, 0, 369.125, 1281.399, 232.049, 359.3105, 756.5538, 311.077, 0, 25.21019, 688.0673, 782.2745, 603.1014, 687.4277, 382.7351, 1385.594, 568.3252
13.7, 0, 372.1343, 1220.005, 217.6045, 336.4275, 1009.47, 292.2274, 0, 23.56271, 646.853, 746.2809, 565.2427, 668.5432, 448.509, 1307.536, 584.3881
13.8, 0, 351.9141, 1161.551, 204.0593, 377.4604, 1159.709, 305.7135, 0, 22.02289, 608.1074, 960.5045, 529.7606, 710.444, 425.7021, 1233.875, 554.7577
13.9, 0, 337.4016, 1225.833, 191.3571, 353.4215, 1104.034, 287.1889, 0, 20.5837, 783.3984, 916.3102, 496.5058, 744.341, 404.0548, 1267.738, 697.4983
14, 0, 437.4487, 1167.101, 280.6001, 337.7177, 1051.032, 269.7868, 0, 19.23856, 736.4739, 874.1495, 465.3385, 704.0637, 383.5084, 1291.707, 662.1328
