 , C000, C003, C004, C007, C009, C010, C011, C016, C017, C020, C022, C026, C031, C033, C036, C044, C050
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
199.7, 3.352981, 16.46297, 86.80824, 284.6379, 813.5693, 200.4022, 541.6916, 265.179, 373.6862, 586.2169, 908.3526, 371.4309, 2652.091, 2332.707, 1233.072, 1344.963, 444.4209
199.8, 3.09178, 15.56116, 80.14421, 271.4311, 757.4225, 306.6414, 515.0275, 248.2618, 353.1745, 548.6122, 1174.921, 446.1272, 3071.395, 2679.579, 1175.902, 1282.245, 457.872
199.9, 2.850927, 14.70876, 197.9301, 349.9314, 782.2618, 290.8711, 489.6758, 232.4238, 389.8329, 513.4197, 1167.876, 575.9411, 2922.562, 2516.803, 1332.681, 1319.563, 431.1021
200, 2.628836, 13.90304, 219.5801, 333.695, 999.2538, 275.9119, 465.5721, 217.5962, 368.4349, 480.4847, 1084.01, 1187.995, 2914.527, 2374.254, 1270.893, 1508.594, 405.8972
200.1, 2.424047, 13.14147, 202.7235, 390.7693, 1032.085, 261.722, 442.6549, 421.278, 348.2115, 449.6625, 1078.241, 1432.599, 2810.602, 2338.546, 1264.899, 1438.822, 382.166
200.2, 2.235211, 12.42161, 201.2023, 394.1557, 1168.963, 248.2619, 420.8657, 512.7314, 329.0981, 420.8175, 1000.812, 1495.574, 2840.961, 2229.719, 1206.254, 1364.669, 359.8223
200.3, 2.061085, 11.74118, 185.7565, 378.5002, 1229.351, 253.1224, 400.1491, 586.7501, 311.0339, 393.8228, 928.9429, 1399.746, 2659.807, 2094.271, 1215.913, 1294.338, 338.7849
200.4, 1.900525, 11.09802, 171.4965, 360.9384, 1144.51, 240.1046, 380.4522, 624.0386, 293.9612, 368.5598, 862.2347, 1310.058, 2490.204, 2011.003, 1159.54, 1227.632, 318.9775
200.5, 1.752472, 10.4901, 179.4764, 344.1913, 1090.626, 227.7563, 375.2054, 584.2278, 277.8256, 344.9173, 800.3169, 1226.116, 2489.164, 1888.84, 1263.987, 1214.155, 300.3282
200.6, 1.615952, 9.915476, 165.6985, 328.2213, 1015.359, 216.043, 356.7364, 561.2327, 262.5757, 322.7915, 742.8455, 1147.553, 2330.442, 1788.014, 1205.384, 1151.581, 282.7692
200.7, 1.490067, 9.372329, 152.9783, 333.5785, 1028.203, 204.9321, 473.793, 525.4285, 248.1629, 302.085, 689.5011, 1074.024, 2395.191, 1824.491, 1149.498, 1092.232, 266.2368
200.8, 1.37399, 8.858933, 141.2346, 340.0132, 957.2435, 194.3927, 450.4711, 491.9085, 234.5412, 282.7068, 639.9874, 1005.206, 2242.462, 1713.659, 1166.698, 1085.142, 300.8245
200.9, 1.266954, 8.373661, 228.1039, 324.2371, 891.1813, 184.3952, 514.4392, 460.527, 221.6672, 264.5717, 594.0294, 940.7982, 2099.471, 1667.78, 1267.153, 1029.217, 283.2365
201, 1.168257, 7.914971, 210.5929, 309.1929, 829.6782, 174.912, 489.1165, 431.1474, 209.4998, 247.5999, 551.3716, 914.0386, 1994.686, 1585.516, 1208.403, 976.1741, 303.939
201.1, 1.077249, 7.481407, 194.4263, 377.1384, 805.6602, 165.9164, 500.6056, 522.0428, 198.0004, 231.7168, 511.7772, 855.4719, 1867.495, 1585.571, 1165.335, 925.865, 311.1514
201.2, 0.9933297, 7.071592, 179.5007, 359.6397, 750.0593, 157.3835, 498.1309, 488.7389, 187.1321, 216.8526, 479.8142, 835.3943, 1748.414, 1489.252, 1180.415, 878.1487, 292.9596
201.3, 0.9159482, 6.684227, 165.7209, 342.953, 921.6575, 149.2895, 473.611, 457.5595, 176.8604, 202.9419, 445.3583, 874.8594, 1636.927, 1398.785, 1125.687, 832.8915, 275.8315
201.4, 0.8445948, 6.318079, 152.999, 327.0404, 858.0512, 145.1901, 450.298, 428.3693, 167.1525, 189.9235, 413.3768, 1074.307, 1532.548, 1322.144, 1073.496, 790.5774, 259.7047
201.5, 0.7788, 5.971989, 141.2537, 311.8662, 798.8346, 172.5978, 428.1326, 401.0412, 157.9775, 177.7403, 460.3843, 1430.905, 1434.825, 1241.828, 1023.725, 847.8021, 244.5208
201.6, 0.7181306, 5.644857, 130.41, 336.476, 743.7047, 163.7213, 407.0583, 375.4566, 149.3061, 166.3386, 475.9696, 1689.466, 1343.333, 1166.391, 976.2621, 810.448, 230.2246
