 , C01, C07, C12, C19, C20, C21, C32, C40, C42
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
20.78400873534308, 361.1849, 133.3464, 30.36222, 128.8731, 33.17052, 64.89278, 36.95399, 163.7079, 136.9884
20.88393185426299, 346.6891, 126.9741, 42.20308, 135.8759, 33.48956, 61.93574, 35.45797, 156.6905, 137.6008
20.98385497318291, 340.7541, 120.9062, 45.11206, 128.827, 32.03807, 59.11345, 34.02251, 149.9739, 131.4351
21.08377809210283, 326.362, 117.4352, 43.07032, 122.1439, 30.64948, 61.78835, 32.64516, 155.3889, 125.5457
21.18370121102275, 326.175, 114.0528, 41.12098, 140.08, 29.32108, 58.97277, 31.32358, 148.7281, 119.9202
21.28362432994267, 327.9232, 119.8098, 48.06504, 132.8131, 28.05026, 56.2855, 30.05549, 157.3785, 128.0374
21.38354744886259, 318.1019, 142.5561, 45.88965, 125.9231, 30.07197, 53.72067, 31.37036, 154.0095, 122.3002
21.4834705677825, 317.5882, 135.7436, 43.81271, 119.3906, 28.7686, 51.27272, 42.92607, 172.0083, 122.7378
21.58339368670242, 313.5135, 135.2878, 41.82978, 128.5694, 27.52172, 62.58511, 41.18828, 164.6351, 117.2381
21.68331680562234, 305.9983, 128.8226, 39.93658, 121.8996, 30.32549, 59.73322, 41.13125, 157.578, 111.9848
21.78323992454226, 299.247, 122.6665, 38.12908, 128.2918, 29.01113, 57.01129, 40.57973, 150.8234, 113.6673
21.88316304346218, 292.682, 116.8045, 41.52695, 131.5113, 27.75374, 54.41339, 38.93692, 144.3583, 113.749
21.9830861623821, 287.3812, 115.4565, 39.64747, 136.6766, 31.77065, 51.93388, 37.36063, 155.9806, 108.652
22.08300928130202, 280.7252, 121.8931, 37.85305, 129.5862, 30.39365, 59.57224, 35.84814, 149.2944, 103.7835
22.18293240022193, 270.191, 126.0764, 38.97028, 122.8637, 29.07634, 56.85764, 34.39688, 142.8948, 113.6078
22.28285551914185, 263.7635, 120.0515, 46.37137, 116.4898, 27.81612, 54.26675, 34.69952, 136.7696, 108.5172
22.38277863806177, 261.5118, 114.3144, 44.27263, 125.5885, 26.61052, 54.74439, 35.1343, 134.5827, 103.6547
22.48270175698169, 250.4666, 108.8516, 42.26888, 119.0733, 25.45718, 52.24979, 33.71194, 131.473, 99.01007
22.58262487590161, 242.071, 109.674, 40.35581, 112.8961, 24.35382, 49.86887, 32.34717, 132.6048, 94.57356
22.68254799482153, 241.8049, 104.433, 38.52933, 107.0394, 23.29828, 47.59644, 31.03764, 126.9206, 90.33585
22.78247111374145, 235.605, 111.5109, 36.78551, 109.0705, 22.2885, 57.48795, 29.78113, 121.4801, 86.28802
22.88239423266137, 252.7015, 106.1821, 35.12062, 105.3277, 25.65067, 60.66856, 28.57549, 135.5951, 82.42156
22.98231735158128, 250.3507, 114.0801, 33.53109, 116.0736, 24.53893, 63.91053, 27.41866, 129.7828, 78.72836
23.0822404705012, 245.7638, 108.6284, 32.01349, 116.1646, 29.39579, 60.99825, 30.98122, 136.4123, 83.34343
23.18216358942112, 243.8869, 132.7861, 30.56458, 113.733, 28.12173, 58.21867, 29.727, 130.565, 79.60892
23.28208670834104, 256.6235, 126.4406, 29.18124, 118.5938, 26.90288, 63.43982, 28.52355, 126.7896, 76.04175
23.38200982726096, 245.7848, 120.3982, 27.86052, 112.4415, 28.17217, 60.54899, 27.36882, 128.432, 82.50493
23.48193294618088, 261.2081, 118.8375, 26.59957, 109.8107, 26.95114, 57.78989, 29.95835, 122.9267, 78.80799
23.58185606510079, 256.8235, 113.1585, 25.39569, 113.0782, 25.78303, 55.15651, 28.74553, 128.3783, 75.27671
23.68177918402071, 245.9763, 107.7509, 24.24629, 107.212, 24.66555, 58.11695, 33.74087, 122.8754, 71.90366
23.78170230294063, 235.5872, 102.6017, 23.14892, 112.3377, 23.5965, 55.46867, 39.23506, 117.6083, 68.68176
23.88162542186055, 225.6369, 111.829, 22.10121, 108.0035, 22.57379, 52.94107, 37.64669, 112.5669, 65.60422
23.98154854078047, 224.4615, 106.485, 21.10092, 102.4006, 21.59541, 58.58707, 36.12263, 107.7417, 62.66458
24.08147165970039, 223.5059, 101.3963, 20.14591, 116.0082, 20.65942, 55.91737, 34.66026, 103.1233, 59.85666
24.18139477862031, 214.0659, 96.55075, 19.23412, 109.9901, 19.76401, 53.36932, 33.2571, 98.70289, 57.17456
